Date,Year,Month,Day,Data Quality,Max,Max Temp Flag,Min,Min Temp Flag,Mean,Mean Temp Flag,Heat Deg Days (¡C),Heat Deg Days Flag,Cool Deg Days (¡C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
14-01-23,2014,1,23, ,6.3,,1.7,,4,,14,,0,,,M,,M,0,,,,,M,,M
14-01-24,2014,1,24, ,8.8,,1.8,,5.3,,12.7,,0,,,M,,M,0,T,,,,M,,M
14-01-25,2014,1,25, ,11.1,,2.7,,6.9,,11.1,,0,,,M,,M,0,,,,,M,,M
14-01-26,2014,1,26, ,4.2,,1.3,,2.8,,15.2,,0,,,M,,M,0,,,,,M,,M
14-01-27,2014,1,27, ,5.8,,2.1,,4,,14,,0,,,M,,M,0,,,,,M,,M
14-01-28,2014,1,28, ,7.6,,5.5,,6.6,,11.4,,0,,,M,,M,0.7,,,,,M,,M
14-01-29,2014,1,29, ,7.5,,6,,6.8,,11.2,,0,,,M,,M,2.9,,,,,M,,M
14-01-30,2014,1,30, ,6.7,,3.6,,5.2,,12.8,,0,,,M,,M,2.2,,,,,M,,M
14-01-31,2014,1,31, ,6.2,,1.3,,3.8,,14.2,,0,,,M,,M,5.1,,,,,M,,M
14-02-01,2014,2,1, ,4.6,,0.5,,2.6,,15.4,,0,,,M,,M,2.4,,,,,M,,M
14-02-02,2014,2,2, ,5.6,,2.3,,4,,14,,0,,,M,,M,3.4,,,,,M,,M
14-02-03,2014,2,3, ,6.4,,-0.8,,2.8,,15.2,,0,,,M,,M,6.4,,,,,M,,M
14-02-04,2014,2,4, ,3.3,,-1.8,,0.8,,17.2,,0,,,M,,M,4,,,,,M,,M
14-02-05,2014,2,5, ,2.3,,-2.6,,-0.2,,18.2,,0,,,M,,M,4.8,,,,,M,,M
14-02-06,2014,2,6, ,0.4,,-6,,-2.8,,20.8,,0,,,M,,M,2.1,,,,,M,,M
14-02-07,2014,2,7, ,2.5,,-2.7,,-0.1,,18.1,,0,,,M,,M,2.8,,,,,M,,M
14-02-08,2014,2,8, ,3.5,,-4.1,,-0.3,,18.3,,0,,,M,,M,2.9,,,,,M,,M
14-02-09,2014,2,9, ,3.3,,-1.5,,0.9,,17.1,,0,,,M,,M,1.1,,,,,M,,M
14-02-10,2014,2,10, ,5.9,,1.7,,3.8,,14.2,,0,,,M,,M,3.6,,,,,M,,M
14-02-11,2014,2,11, ,7.4,,2.5,,5,,13,,0,,,M,,M,3.6,,,,,M,,M
14-02-12,2014,2,12, ,10.8,,4.4,,7.6,,10.4,,0,,,M,,M,7.8,,,,,M,,M
14-02-13,2014,2,13, ,11.5,,4.8,,8.2,,9.8,,0,,,M,,M,5.8,,,,,M,,M
14-02-14,2014,2,14, ,11.9,,4.4,,8.2,,9.8,,0,,,M,,M,6.1,,,,,M,,M
14-02-15,2014,2,15, ,8.5,,4.3,,6.4,,11.6,,0,,,M,,M,3.7,,,,,M,,M
14-02-16,2014,2,16, ,7.5,,4.3,,5.9,,12.1,,0,,,M,,M,4.6,,,,,M,,M
14-02-17,2014,2,17, ,9.3,,4.1,,6.7,,11.3,,0,,,M,,M,4.6,,,,,M,,M
14-02-18,2014,2,18, ,8.9,,3.8,,6.4,,11.6,,0,,,M,,M,4.8,,,,,M,,M
14-02-19,2014,2,19, ,NA,M,2.9,E,NA,M,NA,M,NA,M,,M,,M,NA,M,,,,M,,M
14-02-20,2014,2,20, ,NA,M,NA,M,NA,M,NA,M,NA,M,,M,,M,NA,M,,,,M,,M
14-02-21,2014,2,21, ,6.6,,1.8,,4.2,,13.8,,0,,,M,,M,NA,M,,,,M,,M
14-02-22,2014,2,22, ,3.2,,1,,2.1,,15.9,,0,,,M,,M,NA,M,,,,M,,M
14-02-23,2014,2,23, ,2.3,,0.5,,1.4,,16.6,,0,,,M,,M,NA,M,,,,M,,M
14-02-24,2014,2,24, ,1.4,,0.3,,0.9,,17.1,,0,,,M,,M,NA,M,,,,M,,M
14-02-25,2014,2,25, ,NA,M,0.3,E,NA,M,NA,M,NA,M,,M,,M,NA,M,,,,M,,M
14-02-26,2014,2,26, ,7.7,,1.2,,4.5,,13.5,,0,,,M,,M,0,,,,,M,,M
14-02-27,2014,2,27, ,9.8,,3.4,,6.6,,11.4,,0,,,M,,M,0,,,,,M,,M
14-02-28,2014,2,28, ,10.8,,3.5,,7.2,,10.8,,0,,,M,,M,0,T,,,,M,,M
14-03-01,2014,3,1, ,6.6,,0.8,,3.7,,14.3,,0,,,M,,M,0,,,,,M,,M
14-03-02,2014,3,2, ,4.7,,0.9,,2.8,,15.2,,0,,,M,,M,13.6,,,,,M,,M
14-03-03,2014,3,3, ,8.1,,3.6,,5.9,,12.1,,0,,,M,,M,8.3,,,,,M,,M
14-03-04,2014,3,4, ,6,,2.6,,4.3,,13.7,,0,,,M,,M,7.3,,,,,M,,M
14-03-05,2014,3,5, ,10.8,,3.7,,7.3,,10.7,,0,,,M,,M,13.8,,,,,M,,M
14-03-06,2014,3,6, ,9.9,,7.6,,8.8,,9.2,,0,,,M,,M,27.5,,,,,M,,M
14-03-07,2014,3,7, ,10.3,,7.1,,8.7,,9.3,,0,,,M,,M,0,,,,,M,,M
14-03-08,2014,3,8, ,9.3,,7.7,,8.5,,9.5,,0,,,M,,M,32.6,,,,,M,,M
14-03-09,2014,3,9, ,11.7,,6.4,E,9.1,E,8.9,E,0,E,,M,,M,2,,,,,M,,M
14-03-10,2014,3,10, ,9.8,,4.1,,7,,11,,0,,,M,,M,0,,,,,M,,M
14-03-11,2014,3,11, ,NA,M,4.1,E,NA,M,NA,M,NA,M,,M,,M,NA,M,,,,M,,M
14-03-12,2014,3,12, ,11.8,,2.4,,7.1,,10.9,,0,,,M,,M,0,,,,,M,,M
14-03-13,2014,3,13, ,11.8,,3.6,,7.7,,10.3,,0,,,M,,M,1.1,,,,,M,,M
14-03-14,2014,3,14, ,13.4,,6.3,,9.9,,8.1,,0,,,M,,M,14.8,,,,,M,,M
14-03-15,2014,3,15, ,9.5,,7,,8.3,,9.7,,0,,,M,,M,17.4,,,,,M,,M
14-03-16,2014,3,16, ,9.2,,5.9,,7.6,,10.4,,0,,,M,,M,2.7,,,,,M,,M
14-03-17,2014,3,17, ,10.4,,3.4,,6.9,,11.1,,0,,,M,,M,0,,,,,M,,M
14-03-18,2014,3,18, ,9,,4.1,,6.6,,11.4,,0,,,M,,M,1.2,,,,,M,,M
14-03-19,2014,3,19, ,9.9,,5.4,,7.7,,10.3,,0,,,M,,M,14.9,,,,,M,,M
14-03-20,2014,3,20, ,9.7,,2.4,,6.1,,11.9,,0,,,M,,M,0,,,,,M,,M
14-03-21,2014,3,21, ,9.4,,1.6,,5.5,,12.5,,0,,,M,,M,0,,,,,M,,M
14-03-22,2014,3,22, ,6,,3.9,,5,,13,,0,,,M,,M,3.7,,,,,M,,M
14-03-23,2014,3,23, ,10.2,,1.8,,6,,12,,0,,,M,,M,0,,,,,M,,M
14-03-24,2014,3,24, ,13.7,,4.9,,9.3,,8.7,,0,,,M,,M,0,,,,,M,,M
14-03-25,2014,3,25, ,11.1,,8.3,,9.7,,8.3,,0,,,M,,M,7.8,,,,,M,,M
14-03-26,2014,3,26, ,11.4,,7.2,,9.3,,8.7,,0,,,M,,M,11,,,,,M,,M
14-03-27,2014,3,27, ,11.4,,6.9,,9.2,,8.8,,0,,,M,,M,6.3,,,,,M,,M
14-03-28,2014,3,28, ,8.7,,7.2,,8,,10,,0,,,M,,M,11.9,,,,,M,,M
14-03-29,2014,3,29, ,11,,7.7,,9.4,,8.6,,0,,,M,,M,6.3,,,,,M,,M
14-03-30,2014,3,30, ,10.9,,6.6,,8.8,,9.2,,0,,,M,,M,4.5,,,,,M,,M
14-03-31,2014,3,31, ,12.8,,3.2,,8,,10,,0,,,M,,M,0,,,,,M,,M
14-04-01,2014,4,1, ,14.6,,3.3,,9,,9,,0,,,M,,M,0,,,,,M,,M
14-04-02,2014,4,2, ,14,,5.5,,9.8,,8.2,,0,,,M,,M,0,,,,,M,,M
14-04-03,2014,4,3, ,9.9,,6.8,,8.4,,9.6,,0,,,M,,M,9.8,,,,,M,,M
14-04-04,2014,4,4, ,11.6,,7.3,,9.5,,8.5,,0,,,M,,M,5.2,,,,,M,,M
14-04-05,2014,4,5, ,9.1,,6.5,,7.8,,10.2,,0,,,M,,M,10.8,,,,,M,,M
14-04-06,2014,4,6, ,12.9,,6,,9.5,,8.5,,0,,,M,,M,0,,,,,M,,M
14-04-07,2014,4,7, ,17.3,,8.1,,12.7,,5.3,,0,,,M,,M,4.8,,,,,M,,M
14-04-08,2014,4,8, ,15.4,,9.4,,12.4,,5.6,,0,,,M,,M,4.4,,,,,M,,M
14-04-09,2014,4,9, ,13.2,,5.1,,9.2,,8.8,,0,,,M,,M,0,,,,,M,,M
14-04-10,2014,4,10, ,14,,6.2,,10.1,,7.9,,0,,,M,,M,0,,,,,M,,M
14-04-11,2014,4,11, ,16.3,,7.7,,12,,6,,0,,,M,,M,0,,,,,M,,M
14-04-12,2014,4,12, ,14.4,,6.1,,10.3,,7.7,,0,,,M,,M,0,,,,,M,,M
14-04-13,2014,4,13, ,16.8,,5.7,,11.3,,6.7,,0,,,M,,M,0,,,,,M,,M
14-04-14,2014,4,14, ,18.7,,5.6,,12.2,,5.8,,0,,,M,,M,0,,,,,M,,M
14-04-15,2014,4,15, ,14.2,,8,,11.1,,6.9,,0,,,M,,M,1.9,,,,,M,,M
14-04-16,2014,4,16, ,10.8,,7.3,,9.1,,8.9,,0,,,M,,M,17.2,,,,,M,,M
14-04-17,2014,4,17, ,10.5,,7.3,,8.9,,9.1,,0,,,M,,M,33.4,,,,,M,,M
14-04-18,2014,4,18, ,13.5,,8.3,,10.9,,7.1,,0,,,M,,M,0,,,,,M,,M
14-04-19,2014,4,19, ,12.6,,7.9,,10.3,,7.7,,0,,,M,,M,4.8,,,,,M,,M
14-04-20,2014,4,20, ,12.4,,7,,9.7,,8.3,,0,,,M,,M,1.2,,,,,M,,M
14-04-21,2014,4,21, ,13.6,,7.9,,10.8,,7.2,,0,,,M,,M,0.5,,,,,M,,M
14-04-22,2014,4,22, ,14.6,,7.4,,11,,7,,0,,,M,,M,0.8,,,,,M,,M
14-04-23,2014,4,23, ,12,,6,,9,,9,,0,,,M,,M,8.9,,,,,M,,M
14-04-24,2014,4,24, ,14.3,,7.6,,11,,7,,0,,,M,,M,6.3,,,,,M,,M
14-04-25,2014,4,25, ,14.3,,6.8,,10.6,,7.4,,0,,,M,,M,0,,,,,M,,M
14-04-26,2014,4,26, ,14,,6.2,,10.1,,7.9,,0,,,M,,M,1.4,,,,,M,,M
14-04-27,2014,4,27, ,13.4,,6.8,,10.1,,7.9,,0,,,M,,M,12.1,,,,,M,,M
14-04-28,2014,4,28, ,15.8,,6.2,,11,,7,,0,,,M,,M,0,,,,,M,,M
14-04-29,2014,4,29, ,21.5,,9.2,,15.4,,2.6,,0,,,M,,M,0,T,,,,M,,M
14-04-30,2014,4,30, ,20.9,,8.9,,14.9,,3.1,,0,,,M,,M,0,,,,,M,,M
14-05-01,2014,5,1, ,23.8,,10,,16.9,,1.1,,0,,,M,,M,0,,,,,M,,M
14-05-02,2014,5,2, ,21.2,,11.6,,16.4,,1.6,,0,,,M,,M,0.9,,,,,M,,M
14-05-03,2014,5,3, ,14,,10.4,,12.2,,5.8,,0,,,M,,M,5.1,,,,,M,,M
14-05-04,2014,5,4, ,10.9,,8.8,,9.9,,8.1,,0,,,M,,M,18.8,,,,,M,,M
14-05-05,2014,5,5, ,15.8,,9.2,,12.5,,5.5,,0,,,M,,M,1.9,,,,,M,,M
14-05-06,2014,5,6, ,17,,9.4,,13.2,,4.8,,0,,,M,,M,0,,,,,M,,M
14-05-07,2014,5,7, ,18.3,,9.1,,13.7,,4.3,,0,,,M,,M,0,,,,,M,,M
14-05-08,2014,5,8, ,15.4,,10.4,,12.9,,5.1,,0,,,M,,M,20.1,,,,,M,,M
14-05-09,2014,5,9, ,16.6,,9.7,,13.2,,4.8,,0,,,M,,M,2.6,,,,,M,,M
14-05-10,2014,5,10, ,14.7,,9.6,,12.2,,5.8,,0,,,M,,M,0,T,,,,M,,M
14-05-11,2014,5,11, ,18.4,,11,,14.7,,3.3,,0,,,M,,M,0,,,,,M,,M
14-05-12,2014,5,12, ,23,,10.7,,16.9,,1.1,,0,,,M,,M,0,,,,,M,,M
14-05-13,2014,5,13, ,22.8,,14,,18.4,,0,,0.4,,,M,,M,0,,,,,M,,M
14-05-14,2014,5,14, ,23.8,,12,,17.9,,0.1,,0,,,M,,M,0,,,,,M,,M
14-05-15,2014,5,15, ,24.1,,13.1,,18.6,,0,,0.6,,,M,,M,0,,,,,M,,M
14-05-16,2014,5,16, ,20.1,,15,,17.6,,0.4,,0,,,M,,M,0,,,,,M,,M
14-05-17,2014,5,17, ,19.8,,13.4,,16.6,,1.4,,0,,,M,,M,0,,,,,M,,M
14-05-18,2014,5,18, ,19.1,,11.1,,15.1,,2.9,,0,,,M,,M,0,,,,,M,,M
14-05-19,2014,5,19, ,20.2,,12.1,,16.2,,1.8,,0,,,M,,M,0.4,,,,,M,,M
14-05-20,2014,5,20, ,20.7,,12.2,,16.5,,1.5,,0,,,M,,M,0,,,,,M,,M
14-05-21,2014,5,21, ,20.8,,12.1,,16.5,,1.5,,0,,,M,,M,0,,,,,M,,M
14-05-22,2014,5,22, ,21.4,,12.9,,17.2,,0.8,,0,,,M,,M,0.2,,,,,M,,M
14-05-23,2014,5,23, ,19.4,,13.2,,16.3,,1.7,,0,,,M,,M,16.8,,,,,M,,M
14-05-24,2014,5,24, ,19.3,,12.7,,16,,2,,0,,,M,,M,0,,,,,M,,M
14-05-25,2014,5,25, ,14.4,,12.2,,13.3,,4.7,,0,,,M,,M,7.7,,,,,M,,M
14-05-26,2014,5,26, ,19.1,,11.8,,15.5,,2.5,,0,,,M,,M,3.8,,,,,M,,M
14-05-27,2014,5,27, ,17.5,,10.2,,13.9,,4.1,,0,,,M,,M,0,,,,,M,,M
14-05-28,2014,5,28, ,18.5,,10.7,,14.6,,3.4,,0,,,M,,M,1.6,,,,,M,,M
14-05-29,2014,5,29, ,13.6,,10.9,,12.3,,5.7,,0,,,M,,M,19.9,,,,,M,,M
14-05-30,2014,5,30, ,19,,10,,14.5,,3.5,,0,,,M,,M,0.2,,,,,M,,M
14-05-31,2014,5,31, ,20.4,,10.5,,15.5,,2.5,,0,,,M,,M,0,,,,,M,,M
14-06-01,2014,6,1, ,20.7,,12.1,,16.4,,1.6,,0,,,M,,M,0,,,,,M,,M
14-06-02,2014,6,2, ,20.9,,11.9,,16.4,,1.6,,0,,,M,,M,0,,,,,M,,M
14-06-03,2014,6,3, ,19.2,,12.1,,15.7,,2.3,,0,,,M,,M,0,,,,,M,,M
14-06-04,2014,6,4, ,19.4,,12,,15.7,,2.3,,0,,,M,,M,0,,,,,M,,M
14-06-05,2014,6,5, ,18.8,,10.4,,14.6,,3.4,,0,,,M,,M,0,,,,,M,,M
14-06-06,2014,6,6, ,21.4,,10.5,,16,,2,,0,,,M,,M,0,,,,,M,,M
14-06-07,2014,6,7, ,22.3,,13.3,,17.8,,0.2,,0,,,M,,M,0,,,,,M,,M
14-06-08,2014,6,8, ,23.6,,14.9,,19.3,,0,,1.3,,,M,,M,0,,,,,M,,M
14-06-09,2014,6,9, ,20.7,,13.6,,17.2,,0.8,,0,,,M,,M,1.8,,,,,M,,M
14-06-10,2014,6,10, ,17.3,,12.1,,14.7,,3.3,,0,,,M,,M,2.5,,,,,M,,M
14-06-11,2014,6,11, ,20.6,,12.5,,16.6,,1.4,,0,,,M,,M,0,,,,,M,,M
14-06-12,2014,6,12, ,20.6,,13.8,,17.2,,0.8,,0,,,M,,M,0,,,,,M,,M
14-06-13,2014,6,13, ,17.6,,12.7,,15.2,,2.8,,0,,,M,,M,1,,,,,M,,M
14-06-14,2014,6,14, ,14.5,,12,,13.3,,4.7,,0,,,M,,M,4.7,,,,,M,,M
14-06-15,2014,6,15, ,17.6,,11.9,,14.8,,3.2,,0,,,M,,M,1.5,,,,,M,,M
14-06-16,2014,6,16, ,18.5,,10.9,,14.7,,3.3,,0,,,M,,M,2.6,,,,,M,,M
14-06-17,2014,6,17, ,20.9,,12.4,,16.7,,1.3,,0,,,M,,M,0,,,,,M,,M
14-06-18,2014,6,18, ,18.7,,13.3,,16,,2,,0,,,M,,M,0,T,,,,M,,M
14-06-19,2014,6,19, ,17.7,,13.6,,15.7,,2.3,,0,,,M,,M,5.3,,,,,M,,M
14-06-20,2014,6,20, ,18.8,,10.6,,14.7,,3.3,,0,,,M,,M,0,T,,,,M,,M
14-06-21,2014,6,21, ,19.7,,10.9,,15.3,,2.7,,0,,,M,,M,0,,,,,M,,M
14-06-22,2014,6,22, ,22.2,,12.4,,17.3,,0.7,,0,,,M,,M,0,,,,,M,,M
14-06-23,2014,6,23, ,21.9,,14.5,,18.2,,0,,0.2,,,M,,M,1.1,,,,,M,,M
14-06-24,2014,6,24, ,21.7,,14.8,,18.3,,0,,0.3,,,M,,M,0.4,,,,,M,,M
14-06-25,2014,6,25, ,23,,13.1,,18.1,,0,,0.1,,,M,,M,0,T,,,,M,,M
14-06-26,2014,6,26, ,24.6,,14.5,,19.6,,0,,1.6,,,M,,M,NA,M,,,,M,,M
14-06-27,2014,6,27, ,18.2,,13.9,,16.1,,1.9,,0,,,M,,M,4.5,,,,,M,,M
14-06-28,2014,6,28, ,20,,13.7,,16.9,,1.1,,0,,,M,,M,8.3,,,,,M,,M
14-06-29,2014,6,29, ,20.5,,14.3,,17.4,,0.6,,0,,,M,,M,2.5,,,,,M,,M
14-06-30,2014,6,30, ,22.1,,13,,17.6,,0.4,,0,,,M,,M,0.3,,,,,M,,M
14-07-01,2014,7,1, ,29.7,,13.5,,21.6,,0,,3.6,,,M,,M,0,,,,,M,,M
14-07-02,2014,7,2, ,26.1,,17.5,,21.8,,0,,3.8,,,M,,M,0,,,,,M,,M
14-07-03,2014,7,3, ,22.3,,14.9,,18.6,,0,,0.6,,,M,,M,0,,,,,M,,M
14-07-04,2014,7,4, ,22.4,,14,,18.2,,0,,0.2,,,M,,M,0.2,,,,,M,,M
14-07-05,2014,7,5, ,19.5,,14.6,,17.1,,0.9,,0,,,M,,M,0.7,,,,,M,,M
14-07-06,2014,7,6, ,22.8,,15.8,,19.3,,0,,1.3,,,M,,M,3.4,,,,,M,,M
14-07-07,2014,7,7, ,24,,15.2,,19.6,,0,,1.6,,,M,,M,0,,,,,M,,M
14-07-08,2014,7,8, ,25,,15.7,,20.4,,0,,2.4,,,M,,M,0,,,,,M,,M
14-07-09,2014,7,9, ,22.8,,13.8,,18.3,,0,,0.3,,,M,,M,0,,,,,M,,M
14-07-10,2014,7,10, ,23.1,,13.8,,18.5,,0,,0.5,,,M,,M,0.4,,,,,M,,M
14-07-11,2014,7,11, ,26.5,,15,,20.8,,0,,2.8,,,M,,M,0,,,,,M,,M
14-07-12,2014,7,12, ,29,,16.5,,22.8,,0,,4.8,,,M,,M,0,,,,,M,,M
14-07-13,2014,7,13, ,28.8,,17.2,,23,,0,,5,,,M,,M,0,,,,,M,,M
14-07-14,2014,7,14, ,27.4,,18.7,,23.1,,0,,5.1,,,M,,M,0,,,,,M,,M
14-07-15,2014,7,15, ,26.7,,17,,21.9,,0,,3.9,,,M,,M,0,,,,,M,,M
14-07-16,2014,7,16, ,25.5,,15.5,,20.5,,0,,2.5,,,M,,M,0,,,,,M,,M
14-07-17,2014,7,17, ,23.2,,15.3,,19.3,,0,,1.3,,,M,,M,0,,,,,M,,M
14-07-18,2014,7,18, ,24.2,,15.1,,19.7,,0,,1.7,,,M,,M,0,,,,,M,,M
14-07-19,2014,7,19, ,20.6,,15.7,,18.2,,0,,0.2,,,M,,M,2.3,,,,,M,,M
14-07-20,2014,7,20, ,18.7,,14.1,,16.4,,1.6,,0,,,M,,M,0.4,,,,,M,,M
14-07-21,2014,7,21, ,22.9,,15.2,,19.1,,0,,1.1,,,M,,M,0,,,,,M,,M
14-07-22,2014,7,22, ,25.1,,16.3,,20.7,,0,,2.7,,,M,,M,0,T,,,,M,,M
14-07-23,2014,7,23, ,19.2,,14,,16.6,,1.4,,0,,,M,,M,11.5,,,,,M,,M
14-07-24,2014,7,24, ,19.4,,13.3,,16.4,,1.6,,0,,,M,,M,9.8,,,,,M,,M
14-07-25,2014,7,25, ,21.8,,14.1,,18,,0,,0,,,M,,M,0,,,,,M,,M
14-07-26,2014,7,26, ,24.5,,14.2,,19.4,,0,,1.4,,,M,,M,0,,,,,M,,M
14-07-27,2014,7,27, ,24.3,,13.8,,19.1,,0,,1.1,,,M,,M,0,,,,,M,,M
14-07-28,2014,7,28, ,26.6,,14.8,,20.7,,0,,2.7,,,M,,M,0,,,,,M,,M
14-07-29,2014,7,29, ,26.9,,15.2,,21.1,,0,,3.1,,,M,,M,0,,,,,M,,M
14-07-30,2014,7,30, ,26.3,,15,,20.7,,0,,2.7,,,M,,M,0,,,,,M,,M
14-07-31,2014,7,31, ,26.8,,15.5,,21.2,,0,,3.2,,,M,,M,0,,,,,M,,M
14-08-01,2014,8,1, ,27.2,,15.8,,21.5,,0,,3.5,,,M,,M,0,,,,,M,,M
14-08-02,2014,8,2, ,27.7,,17.4,,22.6,,0,,4.6,,,M,,M,0,,,,,M,,M
14-08-03,2014,8,3, ,27.6,,16.3,,22,,0,,4,,,M,,M,0,,,,,M,,M
14-08-04,2014,8,4, ,27.4,,17.3,,22.4,,0,,4.4,,,M,,M,0,,,,,M,,M
14-08-05,2014,8,5, ,26.3,,17.2,,21.8,,0,,3.8,,,M,,M,0,,,,,M,,M
14-08-06,2014,8,6, ,23.9,,16.6,,20.3,,0,,2.3,,,M,,M,0,,,,,M,,M
14-08-07,2014,8,7, ,24.1,,15.9,,20,,0,,2,,,M,,M,0,,,,,M,,M
14-08-08,2014,8,8, ,23.8,,15.5,,19.7,,0,,1.7,,,M,,M,0,,,,,M,,M
14-08-09,2014,8,9, ,25,,14.2,,19.6,,0,,1.6,,,M,,M,0,,,,,M,,M
14-08-10,2014,8,10, ,26.7,,15.1,,20.9,,0,,2.9,,,M,,M,0,,,,,M,,M
14-08-11,2014,8,11, ,29.3,,16.3,,22.8,,0,,4.8,,,M,,M,0,,,,,M,,M
14-08-12,2014,8,12, ,24.1,,17.7,,20.9,,0,,2.9,,,M,,M,0,,,,,M,,M
14-08-13,2014,8,13, ,19.8,,16.2,,18,,0,,0,,,M,,M,5.9,,,,,M,,M
14-08-14,2014,8,14, ,23.9,,15.2,,19.6,,0,,1.6,,,M,,M,3.7,,,,,M,,M
14-08-15,2014,8,15, ,25.2,,15.8,,20.5,,0,,2.5,,,M,,M,1,,,,,M,,M
14-08-16,2014,8,16, ,23.3,,16.5,,19.9,,0,,1.9,,,M,,M,0,,,,,M,,M
14-08-17,2014,8,17, ,24.7,,17.8,,21.3,,0,,3.3,,,M,,M,0,,,,,M,,M
14-08-18,2014,8,18, ,23.4,,16.7,,20.1,,0,,2.1,,,M,,M,0,,,,,M,,M
14-08-19,2014,8,19, ,24.7,,16.7,,20.7,,0,,2.7,,,M,,M,0,,,,,M,,M
14-08-20,2014,8,20, ,23.1,,15.9,,19.5,,0,,1.5,,,M,,M,0,,,,,M,,M
14-08-21,2014,8,21, ,23.7,,15.2,,19.5,,0,,1.5,,,M,,M,0,,,,,M,,M
14-08-22,2014,8,22, ,23.1,,13.7,,18.4,,0,,0.4,,,M,,M,0,,,,,M,,M
14-08-23,2014,8,23, ,24.9,,14.2,,19.6,,0,,1.6,,,M,,M,0,,,,,M,,M
14-08-24,2014,8,24, ,24.2,,14.9,,19.6,,0,,1.6,,,M,,M,0,T,,,,M,,M
14-08-25,2014,8,25, ,24.1,,15.5,,19.8,,0,,1.8,,,M,,M,0,,,,,M,,M
14-08-26,2014,8,26, ,26.3,,16,,21.2,,0,,3.2,,,M,,M,0,,,,,M,,M
14-08-27,2014,8,27, ,26.5,,16.4,,21.5,,0,,3.5,,,M,,M,0,,,,,M,,M
14-08-28,2014,8,28, ,24.9,,16.9,,20.9,,0,,2.9,,,M,,M,0,,,,,M,,M
14-08-29,2014,8,29, ,20,,15.8,,17.9,,0.1,,0,,,M,,M,0,,,,,M,,M
14-08-30,2014,8,30, ,20.5,,14.7,,17.6,,0.4,,0,,,M,,M,1.1,,,,,M,,M
14-08-31,2014,8,31, ,21.6,,14.5,,18.1,,0,,0.1,,,M,,M,5.1,,,,,M,,M
14-09-01,2014,9,1, ,21.2,,13.8,,17.5,,0.5,,0,,,M,,M,0,,,,,M,,M
14-09-02,2014,9,2, ,16.5,,13.4,,15,,3,,0,,,M,,M,16.9,,,,,M,,M
